Date,BND,GOVT,IGLB,MBB,SHY,SJNK,SPAB,TIP,VCSH
2018-01-02,75.55699920654297,23.806854248046875,56.35649490356445,99.29740142822266,80.0299072265625,23.778366088867188,26.595617294311523,108.329345703125,73.7696533203125
2018-01-03,75.62203216552734,23.825899124145508,56.509220123291016,99.33470153808594,80.0299072265625,23.847288131713867,26.577083587646484,108.43407440185547,73.77896118164062
2018-01-04,75.58486938476562,23.816373825073242,56.527198791503906,99.2880859375,79.99172973632812,23.89035987854004,26.577083587646484,108.46261596679688,73.74173736572266
2018-01-05,75.48265838623047,23.806854248046875,56.37446975708008,99.24144744873047,79.99172973632812,23.89035987854004,26.558547973632812,108.4435806274414,73.76036071777344
2018-01-08,75.49197387695312,23.79734230041504,56.3654899597168,99.19485473632812,79.99172973632812,23.907594680786133,26.567811965942383,108.329345703125,73.7696533203125
2018-01-09,75.26902770996094,23.711673736572266,55.934261322021484,98.9245376586914,79.96305847167969,23.838668823242188,26.484413146972656,107.97713470458984,73.76036071777344
2018-01-10,75.27832794189453,23.702150344848633,56.08698654174805,98.9245376586914,79.99172973632812,23.81282615661621,26.475149154663086,107.93904876708984,73.7696533203125
2018-01-11,75.27832794189453,23.721189498901367,56.32056427001953,98.98045349121094,79.96305847167969,23.864517211914062,26.502946853637695,107.82482147216797,73.7696533203125
2018-01-12,75.26902770996094,23.721189498901367,56.464298248291016,98.96180725097656,79.95353698730469,23.847288131713867,26.502946853637695,107.92953491210938,73.76036071777344
2018-01-16,75.32477569580078,23.759258270263672,56.545162200927734,98.95247650146484,79.94400024414062,23.85590934753418,26.521474838256836,108.11039733886719,73.72312927246094
2018-01-17,75.24114990234375,23.711673736572266,56.38345718383789,98.8033218383789,79.91534423828125,23.864517211914062,26.484413146972656,108.03424072265625,73.65797424316406
2018-01-18,75.09255981445312,23.673587799072266,56.08698654174805,98.60757446289062,79.896240234375,23.873130798339844,26.41954803466797,107.93904876708984,73.62075805664062
2018-01-19,74.93462371826172,23.635509490966797,55.81746292114258,98.43977355957031,79.92487335205078,23.881750106811523,26.363943099975586,107.75816345214844,73.55562591552734
2018-01-22,74.87889862060547,23.625995635986328,55.74558639526367,98.43047332763672,79.88670349121094,23.907594680786133,26.354679107666016,107.70106506347656,73.56493377685547
2018-01-23,75.0739517211914,23.673587799072266,56.033077239990234,98.57962036132812,79.93443298339844,23.967906951904297,26.391746520996094,107.86289978027344,73.64867401123047
2018-01-24,74.99036407470703,23.625995635986328,55.86238098144531,98.48638916015625,79.91534423828125,23.933439254760742,26.363943099975586,107.78675842285156,73.6393814086914
2018-01-25,75.1947250366211,23.68310546875,56.34751510620117,98.63555145263672,79.896240234375,23.94205665588379,26.40101432800293,107.98667907714844,73.6951904296875
2018-01-26,75.05537414550781,23.625995635986328,56.31157684326172,98.43047332763672,79.84848022460938,23.967906951904297,26.363943099975586,107.9200210571289,73.58356475830078
2018-01-29,74.95321655273438,23.597442626953125,56.11393356323242,98.25333404541016,79.81983947753906,23.907594680786133,26.345409393310547,107.66297912597656,73.56493377685547
2018-01-30,74.81385040283203,23.54984474182129,55.799495697021484,98.17877197265625,79.82939147949219,23.864517211914062,26.28054428100586,107.4059829711914,73.54631042480469
2018-01-31,74.83245086669922,23.55936050415039,56.1858024597168,98.21604919433594,79.82939147949219,23.89898109436035,26.308345794677734,107.67253875732422,73.54631042480469
2018-02-01,74.62484741210938,23.470703125,55.656734466552734,97.94136810302734,79.79690551757812,23.892925262451172,26.218250274658203,107.12126159667969,73.48384094238281
2018-02-02,74.40142059326172,23.423036575317383,55.17903137207031,97.71710205078125,79.80646514892578,23.780420303344727,26.162534713745117,106.98795318603516,73.45587158203125
2018-02-05,74.72724914550781,23.384912490844727,55.26915740966797,98.08150482177734,79.94981384277344,23.667922973632812,26.25540542602539,107.38784790039062,73.57707214355469
2018-02-06,74.48519134521484,23.480234146118164,54.962711334228516,97.82923126220703,79.8924789428711,23.763118743896484,26.190401077270508,106.94987487792969,73.50247192382812
2018-02-07,74.31763458251953,23.413501739501953,54.58415985107422,97.67973327636719,79.83515167236328,23.69388771057129,26.14395523071289,106.71183776855469,73.45587158203125
2018-02-08,74.26176452636719,23.442108154296875,54.22361373901367,97.53954315185547,79.8447036743164,23.590044021606445,26.08823585510254,106.49285888671875,73.44654846191406
2018-02-09,74.0755844116211,23.413501739501953,53.87210464477539,97.502197265625,79.91162872314453,23.512163162231445,26.032506942749023,106.15962982177734,73.40925598144531
2018-02-12,74.09420013427734,23.423036575317383,53.971248626708984,97.48350524902344,79.87335968017578,23.64196014404297,26.06037139892578,106.23579406738281,73.3719711303711
2018-02-13,74.15937042236328,23.442108154296875,53.8811149597168,97.60496520996094,79.87335968017578,23.616004943847656,26.069658279418945,106.31195831298828,73.32536315917969
2018-02-14,73.91732788085938,23.337238311767578,53.601707458496094,97.20317840576172,79.75868225097656,23.633310317993164,25.986074447631836,106.21673583984375,73.17618560791016
2018-02-15,73.99180603027344,23.346771240234375,54.043365478515625,97.31529998779297,79.72999572753906,23.745811462402344,26.0046443939209,106.27389526367188,73.19482421875
2018-02-16,74.15006256103516,23.384912490844727,54.25967025756836,97.47416687011719,79.74913787841797,23.840999603271484,26.032506942749023,106.44526672363281,73.20415496826172
2018-02-20,74.0755844116211,23.35630226135254,53.980262756347656,97.40873718261719,79.73954772949219,23.780420303344727,26.023221969604492,106.35956573486328,73.16688537597656
2018-02-21,73.79630279541016,23.29911231994629,53.592689514160156,97.20317840576172,79.74913787841797,23.719852447509766,25.95821189880371,106.05489349365234,73.1202392578125
